Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 53110 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    0   6.73 MBytes       
[  4]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0   6.84 MBytes       
[  4]   6.80-6.90   sec  0.00 Bytes  0.00 bits/sec    0   6.95 MBytes       
[  4]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0   7.07 MBytes       
[  4]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0   7.18 MBytes       
[  4]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0   7.30 MBytes       
[  4]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0   7.41 MBytes       
[  4]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    0   7.52 MBytes       
[  4]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    0   7.64 MBytes       
[  4]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0   7.75 MBytes       
[  4]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    0   7.87 MBytes       
[  4]   7.70-7.80   sec  1.25 MBytes   105 Mbits/sec    0   7.98 MBytes       
[  4]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0   8.09 MBytes       
[  4]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0   8.21 MBytes       
[  4]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0   8.32 MBytes       
[  4]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0   8.44 MBytes       
[  4]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec   65   7.86 MBytes       
[  4]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec   65   7.73 MBytes       
[  4]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec   67   7.58 MBytes       
[  4]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec   65   7.45 MBytes       
[  4]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec   65   7.32 MBytes       
[  4]   8.70-8.80   sec  0.00 Bytes  0.00 bits/sec   67   7.18 MBytes       
[  4]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec   67   7.04 MBytes       
[  4]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec   65   6.91 MBytes       
[  4]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec   67   6.76 MBytes       
[  4]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec  149   6.75 MBytes       
[  4]   9.20-9.30   sec  0.00 Bytes  0.00 bits/sec  158   6.75 MBytes       
[  4]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec   81   6.64 MBytes       
[  4]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec   84   6.53 MBytes       
[  4]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec   93   6.41 MBytes       
[  4]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec   69   6.30 MBytes       
[  4]   9.70-9.80   sec  0.00 Bytes  0.00 bits/sec   84   6.19 MBytes       
[  4]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec   84   6.07 MBytes       
[  4]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec   81   5.96 MBytes       
[  4]  10.00-10.10  sec  0.00 Bytes  0.00 bits/sec   78   5.85 MBytes       
[  4]  10.10-10.20  sec  0.00 Bytes  0.00 bits/sec   90   5.73 MBytes       
[  4]  10.20-10.30  sec  0.00 Bytes  0.00 bits/sec   75   5.62 MBytes       
[  4]  10.30-10.40  sec  0.00 Bytes  0.00 bits/sec   84   5.51 MBytes       
[  4]  10.40-10.50  sec  0.00 Bytes  0.00 bits/sec   75   5.40 MBytes       
[  4]  10.50-10.60  sec  0.00 Bytes  0.00 bits/sec   84   5.29 MBytes       
