Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 44610 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0    532 KBytes       
[  4]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0    537 KBytes       
[  4]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0    544 KBytes       
[  4]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0    549 KBytes       
[  4]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    0    554 KBytes       
[  4]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    0    560 KBytes       
[  4]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0    566 KBytes       
[  4]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    0    571 KBytes       
[  4]   7.70-7.80   sec  1.12 MBytes  93.6 Mbits/sec    0    577 KBytes       
[  4]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0    583 KBytes       
[  4]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0    588 KBytes       
[  4]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0    594 KBytes       
[  4]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0    600 KBytes       
[  4]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec    0    605 KBytes       
[  4]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    0    611 KBytes       
[  4]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec    0    617 KBytes       
[  4]   8.50-8.60   sec  1.24 MBytes   104 Mbits/sec    0    622 KBytes       
[  4]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    0    628 KBytes       
[  4]   8.70-8.80   sec  0.00 Bytes  0.00 bits/sec    0    634 KBytes       
[  4]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    0    639 KBytes       
[  4]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec    0    645 KBytes       
[  4]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    0    650 KBytes       
[  4]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    0    656 KBytes       
[  4]   9.20-9.30   sec  0.00 Bytes  0.00 bits/sec    0    663 KBytes       
[  4]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    0    669 KBytes       
[  4]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec    0    675 KBytes       
[  4]   9.50-9.60   sec  1.25 MBytes   105 Mbits/sec    0    680 KBytes       
[  4]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec    0    686 KBytes       
[  4]   9.70-9.80   sec  0.00 Bytes  0.00 bits/sec    0    691 KBytes       
[  4]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec    0    697 KBytes       
[  4]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec    0    703 KBytes       
[  4]  10.00-10.10  sec  0.00 Bytes  0.00 bits/sec    0    708 KBytes       
[  4]  10.10-10.20  sec  0.00 Bytes  0.00 bits/sec    0    716 KBytes       
[  4]  10.20-10.30  sec  0.00 Bytes  0.00 bits/sec    0    721 KBytes       
[  4]  10.30-10.40  sec  0.00 Bytes  0.00 bits/sec    0    727 KBytes       
[  4]  10.40-10.50  sec  1.25 MBytes   105 Mbits/sec    0    732 KBytes       
[  4]  10.50-10.60  sec  0.00 Bytes  0.00 bits/sec    0    738 KBytes       
[  4]  10.60-10.70  sec  0.00 Bytes  0.00 bits/sec    0    747 KBytes       
[  4]  10.70-10.80  sec  0.00 Bytes  0.00 bits/sec    0    757 KBytes       
[  4]  10.80-10.90  sec  0.00 Bytes  0.00 bits/sec    0    766 KBytes       
[  4]  10.90-11.00  sec  0.00 Bytes  0.00 bits/sec    0    779 KBytes       
[  4]  11.00-11.10  sec  0.00 Bytes  0.00 bits/sec    0    792 KBytes       
[  4]  11.10-11.20  sec  0.00 Bytes  0.00 bits/sec    0    806 KBytes       
[  4]  11.20-11.30  sec  1.25 MBytes   104 Mbits/sec    0    822 KBytes       
[  4]  11.30-11.40  sec  0.00 Bytes  0.00 bits/sec    0    837 KBytes       
[  4]  11.40-11.50  sec  0.00 Bytes  0.00 bits/sec    0    853 KBytes       
[  4]  11.50-11.60  sec  0.00 Bytes  0.00 bits/sec    0    870 KBytes       
[  4]  11.60-11.70  sec  0.00 Bytes  0.00 bits/sec    0    887 KBytes       
[  4]  11.70-11.80  sec  0.00 Bytes  0.00 bits/sec    0    904 KBytes       
[  4]  11.80-11.90  sec  0.00 Bytes  0.00 bits/sec    0    922 KBytes       
[  4]  11.90-12.00  sec  1.25 MBytes   105 Mbits/sec    0    940 KBytes       
[  4]  12.00-12.10  sec  0.00 Bytes  0.00 bits/sec    0    960 KBytes       
[  4]  12.10-12.20  sec  0.00 Bytes  0.00 bits/sec    0    980 KBytes       
[  4]  12.20-12.30  sec  0.00 Bytes  0.00 bits/sec    0   1000 KBytes       
[  4]  12.30-12.40  sec  0.00 Bytes  0.00 bits/sec    0   1020 KBytes       
[  4]  12.40-12.50  sec  0.00 Bytes  0.00 bits/sec    0   1.01 MBytes       
[  4]  12.50-12.60  sec  0.00 Bytes  0.00 bits/sec    0   1.03 MBytes       
[  4]  12.60-12.70  sec  1.25 MBytes   104 Mbits/sec    0   1.05 MBytes       
[  4]  12.70-12.80  sec  0.00 Bytes  0.00 bits/sec    0   1.07 MBytes       
[  4]  12.80-12.90  sec  0.00 Bytes  0.00 bits/sec    0   1.10 MBytes       
[  4]  12.90-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.12 MBytes       
[  4]  13.00-13.10  sec  0.00 Bytes  0.00 bits/sec    0   1.14 MBytes       
[  4]  13.10-13.20  sec  0.00 Bytes  0.00 bits/sec    0   1.16 MBytes       
[  4]  13.20-13.30  sec  0.00 Bytes  0.00 bits/sec    0   1.19 MBytes       
[  4]  13.30-13.40  sec  1.25 MBytes   105 Mbits/sec    0   1.21 MBytes       
[  4]  13.40-13.50  sec  0.00 Bytes  0.00 bits/sec    0   1.23 MBytes       
[  4]  13.50-13.60  sec  0.00 Bytes  0.00 bits/sec    0   1.25 MBytes       
[  4]  13.60-13.70  sec  0.00 Bytes  0.00 bits/sec    0   1.28 MBytes       
