Connecting to host 10.0.0.1, port 5566
[ 24] local 10.0.0.3 port 49710 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   6.30-6.40   sec  28.8 MBytes  2.44 Gbits/sec    0   5.63 MBytes       
[ 24]   6.40-6.52   sec  52.5 MBytes  3.56 Gbits/sec    0   5.63 MBytes       
[ 24]   6.52-6.61   sec  20.0 MBytes  2.00 Gbits/sec    0   5.63 MBytes       
[ 24]   6.61-6.70   sec  16.2 MBytes  1.45 Gbits/sec    0   5.63 MBytes       
[ 24]   6.70-6.80   sec  31.2 MBytes  2.57 Gbits/sec    0   5.63 MBytes       
[ 24]   6.80-6.93   sec  8.75 MBytes   598 Mbits/sec    0   5.63 MBytes       
[ 24]   6.93-7.03   sec  7.50 MBytes   636 Mbits/sec    0   5.63 MBytes       
[ 24]   7.03-7.11   sec  12.5 MBytes  1.18 Gbits/sec    0   5.63 MBytes       
[ 24]   7.11-7.20   sec  62.5 MBytes  6.15 Gbits/sec    0   5.63 MBytes       
[ 24]   7.20-7.32   sec  16.2 MBytes  1.15 Gbits/sec    0   5.63 MBytes       
[ 24]   7.32-7.41   sec  5.00 MBytes   445 Mbits/sec    0   5.63 MBytes       
[ 24]   7.41-7.68   sec  6.25 MBytes   199 Mbits/sec    0   5.63 MBytes       
[ 24]   7.68-7.68   sec  0.00 Bytes  0.00 bits/sec    0   5.63 MBytes       
[ 24]   7.68-7.70   sec  5.00 MBytes  1.48 Gbits/sec    0   5.63 MBytes       
[ 24]   7.70-8.16   sec  11.2 MBytes   208 Mbits/sec    0   5.63 MBytes       
[ 24]   8.16-8.16   sec  0.00 Bytes  0.00 bits/sec    0   5.63 MBytes       
[ 24]   8.16-8.16   sec  0.00 Bytes  0.00 bits/sec    0   5.63 MBytes       
[ 24]   8.16-8.16   sec  0.00 Bytes  0.00 bits/sec    0   5.63 MBytes       
[ 24]   8.16-8.23   sec  15.0 MBytes  1.73 Gbits/sec    0   5.63 MBytes       
[ 24]   8.23-8.30   sec  37.5 MBytes  4.40 Gbits/sec    0   5.63 MBytes       
[ 24]   8.30-8.40   sec  25.0 MBytes  2.09 Gbits/sec    0   5.63 MBytes       
[ 24]   8.40-8.53   sec  2.50 MBytes   171 Mbits/sec    0   5.63 MBytes       
[ 24]   8.53-8.63   sec  5.00 MBytes   412 Mbits/sec    0   5.63 MBytes       
[ 24]   8.63-8.75   sec  8.75 MBytes   612 Mbits/sec    0   5.63 MBytes       
[ 24]   8.75-8.80   sec  7.50 MBytes  1.18 Gbits/sec    0   5.63 MBytes       
[ 24]   8.80-8.90   sec  66.2 MBytes  5.66 Gbits/sec    0   5.63 MBytes       
[ 24]   8.90-9.08   sec  20.0 MBytes   915 Mbits/sec    0   5.63 MBytes       
[ 24]   9.08-9.10   sec  5.00 MBytes  1.95 Gbits/sec    0   5.63 MBytes       
[ 24]   9.10-9.20   sec  18.8 MBytes  1.59 Gbits/sec    0   5.63 MBytes       
[ 24]   9.20-9.32   sec  20.0 MBytes  1.44 Gbits/sec    0   5.63 MBytes       
[ 24]   9.32-9.40   sec  38.8 MBytes  3.88 Gbits/sec    0   5.63 MBytes       
[ 24]   9.40-9.50   sec  50.0 MBytes  4.35 Gbits/sec    0   5.63 MBytes       
[ 24]   9.50-9.60   sec  26.2 MBytes  2.12 Gbits/sec    0   5.91 MBytes       
[ 24]   9.60-9.70   sec  12.5 MBytes  1.04 Gbits/sec    0   6.17 MBytes       
[ 24]   9.70-9.80   sec  22.5 MBytes  1.97 Gbits/sec    0   6.17 MBytes       
[ 24]   9.80-9.90   sec  26.2 MBytes  2.20 Gbits/sec    0   6.17 MBytes       
[ 24]   9.90-10.00  sec  16.2 MBytes  1.31 Gbits/sec    1   6.17 MBytes       
[ 24]  10.00-10.12  sec  12.5 MBytes   931 Mbits/sec    0   6.17 MBytes       
[ 24]  10.12-10.23  sec  23.8 MBytes  1.73 Gbits/sec    0   6.17 MBytes       
[ 24]  10.23-10.31  sec  31.2 MBytes  3.33 Gbits/sec    0   6.17 MBytes       
[ 24]  10.31-10.40  sec  16.2 MBytes  1.47 Gbits/sec    0   6.17 MBytes       
[ 24]  10.40-10.50  sec  17.5 MBytes  1.52 Gbits/sec    0   6.17 MBytes       
[ 24]  10.50-10.61  sec  55.0 MBytes  4.04 Gbits/sec    0   6.17 MBytes       
[ 24]  10.61-10.70  sec  37.5 MBytes  3.63 Gbits/sec    0   6.17 MBytes       
[ 24]  10.70-10.80  sec  52.5 MBytes  4.42 Gbits/sec    0   6.17 MBytes       
[ 24]  10.80-10.90  sec  42.5 MBytes  3.50 Gbits/sec    0   6.17 MBytes       
[ 24]  10.90-11.03  sec  45.0 MBytes  2.94 Gbits/sec    0   6.17 MBytes       
[ 24]  11.03-11.12  sec  28.8 MBytes  2.64 Gbits/sec    0   6.17 MBytes       
[ 24]  11.12-11.22  sec  23.8 MBytes  2.13 Gbits/sec    0   6.17 MBytes       
[ 24]  11.22-11.32  sec  43.8 MBytes  3.41 Gbits/sec    0   6.48 MBytes       
[ 24]  11.32-11.41  sec  18.8 MBytes  1.74 Gbits/sec    0   6.80 MBytes       
